,constructorId,driverId,fastestLap,fastestLapSpeed,fastestLapTime,grid,laps,milliseconds,number,points,position,positionOrder,positionText,raceId,rank,resultId,statusId,time
0,66,459,0,0.0,,0,0,0,0,0,0,19,W,732,0,17716,54,00:00:00
1,95,462,0,0.0,,0,0,0,0,0,0,20,W,732,0,17717,54,00:00:00
2,172,446,0,0.0,,0,0,0,0,0,0,21,W,732,0,17718,54,00:00:00
3,170,437,0,0.0,,0,0,0,0,0,0,22,W,732,0,17719,54,00:00:00
4,26,305,0,0.0,,0,0,0,0,0,0,23,W,728,0,20322,54,00:00:00
5,172,485,0,0.0,,0,0,0,0,0,0,28,W,741,0,17940,54,00:00:00
6,82,306,0,0.0,,0,0,0,1,0,0,18,F,680,0,16648,81,00:00:00
7,54,403,0,0.0,,0,0,0,1,0,0,18,W,719,0,17412,54,00:00:00
8,92,429,0,0.0,,0,0,0,1,0,0,21,W,709,0,17209,54,00:00:00
9,6,222,0,0.0,,0,0,0,1,0,0,26,F,510,0,12347,81,00:00:00
10,34,137,0,0.0,,0,0,0,1,0,0,28,F,473,0,11277,81,00:00:00
11,176,309,0,0.0,,0,0,0,2,0,0,18,F,709,0,17206,81,00:00:00
12,54,394,0,0.0,,0,0,0,2,0,0,19,W,719,0,17413,54,00:00:00
13,32,357,0,0.0,,0,0,0,2,0,0,20,F,645,0,15953,81,00:00:00
14,32,138,0,0.0,,0,0,0,2,0,0,27,F,374,0,8581,81,00:00:00
15,32,138,0,0.0,,0,0,0,2,0,0,28,F,377,0,8675,81,00:00:00
16,3,172,0,0.0,,0,0,0,2,0,0,28,F,464,0,11023,81,00:00:00
17,3,172,0,0.0,,0,0,0,2,0,0,29,F,465,0,11053,81,00:00:00
18,152,749,0,0.0,,0,0,0,2,0,0,32,W,821,0,19767,54,00:00:00
19,191,356,0,0.0,,0,0,0,3,0,0,14,W,668,0,16416,54,00:00:00
20,176,428,0,0.0,,0,0,0,3,0,0,19,F,709,0,17207,81,00:00:00
21,6,13,0,0.0,,0,0,0,3,0,0,20,W,10,0,7753,54,00:00:00
22,172,397,0,0.0,,0,0,0,3,0,0,21,W,720,0,17440,54,00:00:00
23,66,459,0,0.0,,0,0,0,3,0,0,21,W,731,0,17692,54,00:00:00
24,25,84,0,0.0,,0,0,0,3,0,0,22,F,441,0,10382,81,00:00:00
25,25,158,0,0.0,,0,0,0,3,0,0,25,F,493,0,11870,81,00:00:00
26,170,508,0,0.0,,0,0,0,3,0,0,25,W,752,0,18233,54,00:00:00
27,25,84,0,0.0,,0,0,0,3,0,0,26,F,444,0,10466,81,00:00:00
28,25,138,0,0.0,,0,0,0,3,0,0,26,W,333,0,7453,54,00:00:00
29,25,156,0,0.0,,0,0,0,3,0,0,27,F,371,0,8481,81,00:00:00
30,25,156,0,0.0,,0,0,0,3,0,0,27,F,383,0,8860,81,00:00:00
31,25,140,0,0.0,,0,0,0,3,0,0,27,F,447,0,10548,81,00:00:00
32,25,156,0,0.0,,0,0,0,3,0,0,28,F,375,0,8613,81,00:00:00
33,6,501,0,0.0,,0,0,0,4,0,0,16,W,795,0,19149,54,00:00:00
34,105,609,0,0.0,,0,0,0,4,0,0,19,F,777,0,18755,81,00:00:00
35,95,551,0,0.0,,0,0,0,4,0,0,21,F,756,0,18309,81,00:00:00
36,25,185,0,0.0,,0,0,0,4,0,0,22,F,423,0,9918,81,00:00:00
37,66,453,0,0.0,,0,0,0,4,0,0,22,W,731,0,17693,54,00:00:00
38,131,478,0,0.0,,0,0,0,4,0,0,23,F,793,0,19100,81,00:00:00
39,66,460,0,0.0,,0,0,0,4,0,0,23,W,731,0,17694,54,00:00:00
40,25,214,0,0.0,,0,0,0,4,0,0,25,F,483,0,11569,81,00:00:00
41,25,105,0,0.0,,0,0,0,4,0,0,25,F,489,0,11751,81,00:00:00
42,25,185,0,0.0,,0,0,0,4,0,0,26,D,447,0,10547,2,00:00:00
43,25,105,0,0.0,,0,0,0,4,0,0,27,F,357,0,7938,81,00:00:00
44,25,65,0,0.0,,0,0,0,4,0,0,27,F,368,0,8365,81,00:00:00
45,25,141,0,0.0,,0,0,0,4,0,0,27,F,372,0,8520,81,00:00:00
46,25,141,0,0.0,,0,0,0,4,0,0,27,F,384,0,8891,81,00:00:00
47,25,84,0,0.0,,0,0,0,4,0,0,27,F,429,0,10077,81,00:00:00
48,25,191,0,0.0,,0,0,0,4,0,0,27,F,446,0,10521,81,00:00:00
49,25,141,0,0.0,,0,0,0,4,0,0,28,F,378,0,8706,81,00:00:00
50,25,141,0,0.0,,0,0,0,4,0,0,28,F,387,0,8985,81,00:00:00
